member_id,full_date,year,month,day,day_of_week,purchase_id
2138,2014-05-13,2014,5,13,1,5f8645fc-c65c-480d-a969-538b82d17b91
2495,2014-01-31,2014,1,31,4,6f379bfb-c652-44b6-a0c4-feddac4c944c
3590,2014-03-29,2014,3,29,5,6ab45969-c6d8-4576-a06a-b40bd090e7a9
4037,2014-05-05,2014,5,5,0,3111f3a9-7f52-446b-9a79-e2f32a6940f0
4968,2014-04-03,2014,4,3,3,d3af10d0-2b19-4d20-99bd-a599b5dd875a
1612,2014-08-10,2014,8,10,6,8d58fbfd-49f2-4e94-998b-1039ae33ca86
4741,2014-10-12,2014,10,12,6,c2987c9f-1722-4257-b476-2abb260a4f62
2899,2014-08-01,2014,8,1,4,c3c7bbdd-a89b-4e0f-ae25-183eb0d6b748
4206,2014-09-18,2014,9,18,3,7e5755de-e9c0-410b-b4e3-d8da6a64c286
3705,2014-08-17,2014,8,17,6,3bbbdcfb-fc28-48b2-ac90-3163961555e8
2832,2014-07-29,2014,7,29,1,d958481e-990d-48a9-93a7-4a81b3ddf3c4
4054,2014-05-10,2014,5,10,5,cde9760a-4788-493a-b01c-e5cfb27d0030
1595,2014-07-17,2014,7,17,3,7b85d88d-b917-44a2-a481-60ce0e028f32
4821,2014-02-09,2014,2,9,6,8a243852-d3cf-4e6a-bcb8-9b4bcf473068
1336,2014-01-23,2014,1,23,3,eb00f1bc-9b98-4725-8602-f3d8f783a516
2446,2014-01-19,2014,1,19,6,cae00c20-8427-43ae-b9ec-017e01d39b7e
1033,2014-04-21,2014,4,21,0,c8942a3f-3b82-4d47-894c-ab02007f9898
1447,2014-05-06,2014,5,6,1,668a217c-c12e-4914-a9db-0792782d913e
1185,2014-08-14,2014,8,14,3,a2993cca-7f93-4104-bb17-24a1bd2f2adc
1410,2014-06-01,2014,6,1,6,c208981d-afe3-4791-8eb1-449c39b0d271
4588,2014-07-28,2014,7,28,0,8d7d1c13-ccc5-4e45-a0f4-f5fc8a3a6b36
2732,2014-01-31,2014,1,31,4,73157853-8e1f-4cfb-a48f-9b26bb10af43
1473,2014-10-10,2014,10,10,4,02cad18b-2c3a-49d0-a0b7-42ccd77b6068
2029,2014-10-21,2014,10,21,1,559f0e7a-7c2a-4e06-a47c-affaeb6f5970
2799,2014-07-31,2014,7,31,3,65ea471b-9569-4674-b973-9a984f55d176
4579,2014-01-19,2014,1,19,6,6be7d5e7-430d-471d-b6be-a7c2e308e821
1041,2014-06-13,2014,6,13,4,5ee11f0e-b075-4d34-baa4-4e821647cdc5
1877,2014-09-30,2014,9,30,1,3bdfbc31-f976-4f3a-9961-157695cbfff8
4191,2014-03-14,2014,3,14,4,d5c3ef2b-8d96-46ee-9718-1e3fe7ccfeeb
3649,2014-07-11,2014,7,11,4,ff5cc778-e368-45cc-b691-7542755b9cc1
2706,2014-02-24,2014,2,24,0,ad770ca0-aa2a-4c26-a9a7-e68f8ab9f77b
3821,2014-02-26,2014,2,26,2,5adf3fdd-d31e-4604-82e6-0c5a6d74101b
3917,2014-02-14,2014,2,14,4,90b4daaf-d8cb-421c-89da-96fda119e0b7
4464,2014-07-27,2014,7,27,6,ba46f300-6219-475f-bac9-d67177d6e344
1935,2014-06-30,2014,6,30,0,c2687f08-dadb-4bcb-ae53-228f3c2f1edc
1783,2014-07-22,2014,7,22,1,b9525d67-a036-4fae-ad78-20d3f9feb095
3817,2014-08-23,2014,8,23,5,46f7bc94-9098-4377-94d6-aaa9f9ee19d1
4162,2014-04-15,2014,4,15,1,f97c11dd-b37c-4be2-b451-84f966b8e473
1653,2014-07-18,2014,7,18,4,cb6bc67b-2871-4c46-ac72-5a19930b3b12
1686,2014-12-04,2014,12,4,3,ed862ed4-4da3-4a61-8554-c44af2bd5c26
2549,2014-05-09,2014,5,9,4,39324688-c68e-4908-bf82-ba04ffde5566
1380,2014-04-22,2014,4,22,1,9d8acca4-c1d3-4b48-8399-94f0f825bb8c
3315,2014-12-27,2014,12,27,5,cd98e169-f02a-4395-9acd-6ddd917ef33b
4931,2014-02-23,2014,2,23,6,20d2d0cd-61af-4316-bdaa-2cb1cbe0505b
4849,2014-04-14,2014,4,14,0,4e82530f-cdaa-4f42-ab6d-7deed5a52116
2984,2014-07-07,2014,7,7,0,87375b67-34e5-4c26-b70d-fc770735a061
1262,2014-12-07,2014,12,7,6,1b3ab105-2228-4549-9608-49a83fe9f7f6
2561,2014-11-27,2014,11,27,3,1452a7ce-066a-4f68-8d9b-0e10c0b73977
2755,2014-02-01,2014,2,1,5,f49298a3-463c-46fd-a93d-dd219aead42f
1747,2014-07-01,2014,7,1,1,c77e4d07-71f6-4628-a631-cbd56948c06e
1913,2014-08-31,2014,8,31,6,15fcb7e4-4845-4f59-848a-62216d59f7fd
3090,2014-03-10,2014,3,10,0,7ed3384c-7b6e-4f01-90fa-7e238bf35c5c
4369,2014-10-27,2014,10,27,0,dec53557-b38f-4441-bfae-5990365f69e0
4872,2014-10-20,2014,10,20,0,a08d3a12-ce27-4adf-8560-32c9ffe0a38f
3918,2014-04-05,2014,4,5,5,21b6f381-52bc-4a62-9c4e-255a2c3a483c
1758,2014-09-21,2014,9,21,6,ed629439-1328-4eeb-a895-905128818de9
2328,2014-01-22,2014,1,22,2,3cb36723-c9cd-49ca-a9b1-f9c67c580f11
3570,2014-05-06,2014,5,6,1,87ccfe53-1bf7-4ae1-a185-45da723963b7
4753,2014-11-10,2014,11,10,0,37dc5f56-08e8-45cc-924c-83914b9738f2
1815,2014-04-12,2014,4,12,5,ec0dde35-323c-4c4e-acf4-b963ced934de
4372,2014-11-09,2014,11,9,6,a2cfc4c0-b6c3-4be6-81ba-0a7b352fdb55
1287,2014-08-07,2014,8,7,3,3d82e124-d91b-484c-84e4-0d57558bacd0
4938,2014-05-01,2014,5,1,3,23c4de1e-4fde-428b-90aa-88ba7d1508ae
4164,2014-08-09,2014,8,9,5,1044ea4a-2c8a-4927-a05a-9c217ca76458
4410,2014-05-24,2014,5,24,5,090f83b4-3abb-4d93-b211-1bf86dcab4c8
2609,2014-04-06,2014,4,6,6,14f8d14d-017f-4485-965b-78e52fc706b8
2293,2014-03-31,2014,3,31,0,a2d0dd39-30a1-46f9-82b7-f204415b6f72
4049,2014-06-07,2014,6,7,5,eaf677b7-620c-448a-98a2-b6aa92136c65
2240,2014-02-10,2014,2,10,0,baf3a5b0-2534-4e39-b08d-0f3cdee7f131
3197,2014-01-03,2014,1,3,4,72a21812-c5e1-4144-ad93-d057e1b0c8e5
1223,2014-05-09,2014,5,9,4,c5c2b782-14fd-4052-ac84-c9625f149397
2186,2014-12-04,2014,12,4,3,67971e38-4a63-4402-ab98-d5f17d285353
4137,2014-12-15,2014,12,15,0,17165944-272f-42aa-b960-39d1087ceec7
3284,2014-03-25,2014,3,25,1,3b345399-d88f-435a-a58a-2cba09e5d652
3190,2014-04-13,2014,4,13,6,37de4d77-f0e2-44e1-84c7-cb36ea94dca8
3059,2014-06-15,2014,6,15,6,5aaa05c8-8b10-4282-ad95-94114437ed69
2441,2014-08-28,2014,8,28,3,b7607895-e57b-47c4-8d5c-16206ce62d13
3645,2014-08-22,2014,8,22,4,68a501da-f5d1-480d-a042-950075549824
2246,2014-01-21,2014,1,21,1,5c08d4f0-8e45-4306-880c-89f6060e360d
4431,2014-12-06,2014,12,6,5,c22f2e90-6d5d-4382-a401-10b07037cdc0
3047,2014-08-16,2014,8,16,5,7e50777b-9e14-4478-8da0-47228dddf7c3
1866,2014-08-29,2014,8,29,4,f0f607d2-c186-4953-94d1-6524c3a03c6e
3138,2014-10-13,2014,10,13,0,e3df0d9f-cb18-4c53-acc1-29084b1311df
2078,2014-05-14,2014,5,14,2,6d58e9f8-a37a-4011-b700-b3be8fd3620e
3142,2014-06-05,2014,6,5,3,b6edce51-03fc-4699-b82c-614b448aac75
4262,2014-03-06,2014,3,6,3,d93105b0-5358-4ac2-ab2d-d0eaf806dbd0
4872,2014-02-13,2014,2,13,3,79369d81-31c8-426a-ab03-e408d5dd7f75
1985,2014-05-18,2014,5,18,6,b978cd3d-9b3d-4d02-b9f5-a1f3d2637236
2458,2014-11-20,2014,11,20,3,a7c8c2d3-7311-4046-b05b-31bda6d209f7
2540,2014-01-29,2014,1,29,2,aeb91c4e-3b7c-4f9a-8f0a-8b971079212c
3194,2014-07-26,2014,7,26,5,a5c8d2dd-a524-4305-8194-8a00812a51ac
3071,2014-04-18,2014,4,18,4,2588d928-0552-4574-b0cd-17d0fcfdaa4c
4181,2014-07-09,2014,7,9,2,7665007a-f4e7-444b-a59b-59fc0357fcd8
2033,2014-11-29,2014,11,29,5,2bd8f044-cd67-444e-a844-b990688d990f
3306,2014-11-12,2014,11,12,2,eb0072c0-f829-49e3-9744-c4cbd5ecfa2e
1658,2014-09-08,2014,9,8,0,0b9b76f5-5dde-422b-9d85-3fc7217ae02a
3884,2014-12-10,2014,12,10,2,963ef243-0426-41f1-bcc4-26ba69902c51
1215,2014-07-30,2014,7,30,2,d68f5d28-676d-4ab1-8c80-89edf4291226
2477,2014-09-30,2014,9,30,1,58e475d9-d846-4d22-a45f-dac45974fa96
3971,2014-04-02,2014,4,2,2,2a7a2c1d-1abc-4953-948d-29d74fdfa35a
3644,2014-02-20,2014,2,20,3,33489477-7a08-4525-9e15-e67c75c506f2
1550,2014-05-05,2014,5,5,0,c57aea58-ceeb-4138-9040-f4893b4e44fd
1625,2014-02-09,2014,2,9,6,b1b5e054-a10f-4f9b-91d4-98c7b05b870c
2472,2014-01-02,2014,1,2,3,5cd516c6-8722-4f34-af02-565017acce1b
2337,2014-03-04,2014,3,4,1,d4682f82-d4e9-423e-89a6-0c07e9bf14a5
4690,2014-02-03,2014,2,3,0,2199f52a-82bb-443f-9ee8-d3a9606a796b
1748,2014-08-26,2014,8,26,1,8568bc60-3c0a-42ad-aafd-12835271e2e0
4296,2014-12-15,2014,12,15,0,ac0682fe-6bbd-44d1-ab51-ec797d3e6954
3529,2014-08-26,2014,8,26,1,678f145f-6e90-4589-97cc-8c10d9312aed
3804,2014-04-28,2014,4,28,0,036f01d4-2a97-4459-bc76-5deea67e31a7
4107,2014-05-10,2014,5,10,5,e5e3302f-5709-473d-9d81-68b9848a71bf
3727,2014-07-28,2014,7,28,0,f18bc7b1-299b-4d16-9f96-5555cd3c5c0b
1492,2014-12-20,2014,12,20,5,ae8ac217-a16a-4352-a73f-b521fa0fac39
4952,2014-04-09,2014,4,9,2,fda6d5b3-042d-43a8-bbec-df7cc0ed78db
4641,2014-11-05,2014,11,5,2,deda6de0-5bc8-4b68-9536-0d12035bc3e6
4716,2014-05-18,2014,5,18,6,058556f2-baa5-4cf9-ba73-ca35b33db466
3857,2014-07-11,2014,7,11,4,dd222579-a286-43b1-832c-cc7a8efe2724
4599,2014-03-21,2014,3,21,4,d6fa1a21-5fe7-4eeb-a7e6-af574c6f39ab
2906,2014-06-25,2014,6,25,2,3e85f659-dc30-4cde-b86f-2c0b5c5d76a8
3552,2014-01-27,2014,1,27,0,507bd52a-0e8f-4423-8ced-28ec1a8c7b21
4572,2014-10-30,2014,10,30,3,1d0c0e11-8e0f-4e56-9ee7-90c84e1b0c78
4345,2014-03-19,2014,3,19,2,06796bc0-e978-4193-b646-012d0d4d8431
1908,2014-09-20,2014,9,20,5,eda49b5c-8a9b-4a8d-a16b-b6c8e577d152
4744,2014-01-31,2014,1,31,4,9beba6f9-5c91-4851-8b36-112ace412e76
2064,2014-03-18,2014,3,18,1,292b0361-143b-49d0-a015-fbf5fbf232af
1726,2014-05-04,2014,5,4,6,83a8183f-30de-4a39-bf1c-81c0053b920a
2383,2014-05-25,2014,5,25,6,a259aacb-7105-4a6b-b9a6-b4d39838b759
4245,2014-07-15,2014,7,15,1,30ae9bca-730a-4a77-955e-14ccb69dbdf8
1013,2014-02-20,2014,2,20,3,cbc7d514-2683-4ddb-a1e2-5040883aca10
2676,2014-10-01,2014,10,1,2,f65f2120-c949-4e6a-9eb4-03fce80f6ee0
4155,2014-03-09,2014,3,9,6,b244f0ae-c948-47ca-84d5-5692b621740c
1365,2014-08-23,2014,8,23,5,60e7718b-1705-4435-a481-68bc31d1e9d7
4917,2014-05-30,2014,5,30,4,3f08c22d-4724-4f9d-92f4-5075e5b10109
4686,2014-06-27,2014,6,27,4,d4d5e159-ee48-4f73-8a49-874ca1625b82
4842,2014-05-23,2014,5,23,4,26cb7e0a-dda1-4246-94db-e65fc5830128
3673,2014-11-08,2014,11,8,5,d8e5ca9d-ae31-4fc9-869d-b3bfd8c4b9b1
4214,2014-03-10,2014,3,10,0,9b55b015-518f-41e5-9261-bdc106e7cbf7
3952,2014-07-27,2014,7,27,6,91e46202-ec11-4ae1-a4c5-789dbecacce6
3972,2014-03-04,2014,3,4,1,10aef98b-fed6-4400-9178-aab9eaef6c9a
3790,2014-07-31,2014,7,31,3,308d95b7-adcb-4a4e-9ed4-433d0ebc7abf
3042,2014-04-04,2014,4,4,4,56e04c8c-ceb5-4218-bf38-12cd0aabe70b
2567,2014-07-22,2014,7,22,1,6feb2c60-9f99-4f60-9c6b-977fd461603c
3830,2014-07-28,2014,7,28,0,75ccb20d-10e3-464f-9326-4c05371bfc79
2515,2014-01-27,2014,1,27,0,d8057781-4fc5-4419-b00d-75c3301da774
2545,2014-01-14,2014,1,14,1,cf7e0425-c7eb-47df-8ec9-5e7b83ed1b98
1006,2014-09-04,2014,9,4,3,24d4f7cd-7642-44ff-9880-940451b8ac8e
2590,2014-03-09,2014,3,9,6,78714ab7-e5f2-4040-a69e-cf1801ab2015
1757,2014-03-30,2014,3,30,6,cf750a7a-e0bf-4fa9-83a8-8a24ae144ace
2352,2014-03-27,2014,3,27,3,bfc58222-86ab-44dc-9da8-56a8428ca710
1136,2014-09-28,2014,9,28,6,36bcb300-e663-47a8-975d-b0212279d3f1
3123,2014-08-07,2014,8,7,3,1c6bc5cb-fe0c-46e3-924e-0a514e1ee43c
3224,2014-06-08,2014,6,8,6,f4f89baa-b727-4ccb-9f7a-aaf058213cb4
4642,2014-12-17,2014,12,17,2,b41d5bdb-1c6d-4469-8991-c4f72c1e2267
2380,2014-05-04,2014,5,4,6,fed5ddda-7839-4c7a-bba2-1283410a7d2c
4029,2014-10-27,2014,10,27,0,fa0fcce1-e476-4de0-be8f-3ed05991e442
1103,2014-12-07,2014,12,7,6,c0a3106a-1ee2-4513-a4d7-941a4643a1f5
4655,2014-11-14,2014,11,14,4,f72d2146-8c7e-4e32-9fdb-dbae79a7969e
1773,2014-10-28,2014,10,28,1,37102672-ee8f-4d56-9f46-5eabca9edd29
4645,2014-10-11,2014,10,11,5,50ff072a-246b-4be0-884a-b0f9312f458d
1468,2014-02-10,2014,2,10,0,70ce45cd-79bd-43ae-bba0-b7dbbd505f60
4383,2014-02-12,2014,2,12,2,323664b5-e535-4d44-af36-7d33b3f7cba5
3279,2014-07-03,2014,7,3,3,5bd29112-44cb-47ca-8cf5-15302cf9c732
3025,2014-01-19,2014,1,19,6,c29b225f-a0f0-4e97-87d8-08fbbc156d09
2969,2014-04-13,2014,4,13,6,cb990ce8-3c97-44b4-ace7-31465471353a
1767,2014-02-06,2014,2,6,3,6fdf21b4-6a62-414f-8460-fcac4379ba24
2830,2014-09-21,2014,9,21,6,004e78b7-6435-4e1a-b4dd-1d507b7a6364
3556,2014-02-04,2014,2,4,1,feae3cc8-0608-4e49-821e-e94a9c0a8f17
1104,2014-09-05,2014,9,5,4,72b18018-2441-4522-a120-f749850fa3ac
1740,2014-11-21,2014,11,21,4,bc36a02b-f3bc-4d2c-8c27-64dcf5d4191a
1844,2014-09-18,2014,9,18,3,c13de6ee-9595-4f2b-88f4-92f3bf192796
2544,2014-09-06,2014,9,6,5,09e2b9f0-c0c7-4cae-a472-07e63ef2cfaf
3655,2014-10-05,2014,10,5,6,d860ee73-02ea-42f0-8063-f781b69d4e12
4947,2014-01-28,2014,1,28,1,ba948b70-70ad-4bbb-b9e7-d248a59e654c
4002,2014-08-24,2014,8,24,6,1f6f57f8-5743-4577-ba92-6d674359a51b
4951,2014-08-15,2014,8,15,4,f508c21f-2dec-47da-b28b-bd0e7a3570f9
3309,2014-06-06,2014,6,6,4,ad909a7d-c83a-4920-9192-59423957cfdf
2289,2014-03-07,2014,3,7,4,f76cbd87-920b-4662-98f2-572dfab80316
2120,2014-06-07,2014,6,7,5,7cb2517f-3e1b-4e68-b14b-00445f6f2c3b
4679,2014-06-13,2014,6,13,4,a2ce6fe0-e2b2-475e-8527-8146d7d61cba
3220,2014-03-15,2014,3,15,5,4c11d858-beed-4628-9029-dfc70b23631a
2146,2014-05-30,2014,5,30,4,e746ffbe-269e-4fd5-b27a-e6b07f48265c
1851,2014-12-02,2014,12,2,1,de7a553c-b119-424d-91bf-b3c71eb457b0
1889,2014-03-08,2014,3,8,5,98155656-ce0b-48a9-9de5-c4d2da23d340
2789,2014-02-11,2014,2,11,1,5cd374f9-f3f1-415a-85cc-766d688c162f
2611,2014-12-29,2014,12,29,0,1928263f-ef05-4c42-aea5-56d231a1933b
1309,2014-12-23,2014,12,23,1,b1c9934e-6fbb-40d3-90ef-2f5cb551bb53
2259,2014-06-16,2014,6,16,0,bd7291e7-d952-4154-b3d3-17db3ec4774e
2540,2014-12-16,2014,12,16,1,37775737-25e9-4f82-bc0f-1d3bad648d71
3539,2014-01-13,2014,1,13,0,d04d605d-076c-46e2-81c9-777e7c7991ec
4149,2014-12-05,2014,12,5,4,9d4ac56e-e857-40ed-bc7f-2ce103711f0d
3847,2014-08-06,2014,8,6,2,e2d82e6f-1bf3-44be-8276-eae45a3def40
4285,2014-04-13,2014,4,13,6,89bf20e5-a0fd-4b11-a10e-710b75952677
1445,2014-04-13,2014,4,13,6,c6723be7-0327-45ff-8398-ed90725c6f3c
2701,2014-03-05,2014,3,5,2,9742a93b-5ff0-423b-bf51-ed6c33d9099b
1602,2014-05-29,2014,5,29,3,e63e65e6-96e0-4dce-ad22-64a2ae1a5df2
1590,2014-01-06,2014,1,6,0,5c99d85b-3a53-4d4c-aa3d-fcb43ec92fc4
3704,2014-02-08,2014,2,8,5,94f81f65-b138-4457-893c-b426f20bb31f
4035,2014-07-14,2014,7,14,0,1e70968a-42fc-4618-8ca6-150e1b23962b
4861,2014-03-23,2014,3,23,6,3a9babd1-5130-4c26-a699-1b9308de005c
3757,2014-08-07,2014,8,7,3,df281129-67fe-4fab-8118-2ac185a0973b
4743,2014-07-07,2014,7,7,0,4fa561c1-b5e9-4e72-a490-37bb1240bbf0
4527,2014-03-16,2014,3,16,6,adcd4bf1-1fce-4203-8967-1a8e3c713061
2756,2014-05-14,2014,5,14,2,3a50172e-b20a-49f0-b2cb-a6f29f2606ec
1432,2014-02-18,2014,2,18,1,5fb6ca68-e01b-4191-bd39-b7d075379a05
3089,2014-08-20,2014,8,20,2,ade56eff-c0f3-4de8-8c0f-bdf3859d985f
4614,2014-12-25,2014,12,25,3,d0046ee3-a3f8-4513-9013-ebb78d419c8d
4255,2014-02-01,2014,2,1,5,7aadc343-a431-49fe-b535-556fb90d2569
3426,2014-02-05,2014,2,5,2,4d133997-fa55-4fb8-8b5a-566e4c4b40a2
3343,2014-03-08,2014,3,8,5,bed18e5e-928d-4f34-8ea8-3d0e2452fd95
3550,2014-12-18,2014,12,18,3,34adda12-482b-4cc7-839f-8b93f643536a
4785,2014-08-14,2014,8,14,3,0011508a-de0b-45c1-9d8e-753850ab6537
3137,2014-11-09,2014,11,9,6,66b49a20-e95f-4c19-9b4f-a9533d3c410c
4645,2014-12-13,2014,12,13,5,a8e055fe-1b20-4473-948f-abae3cd1f7cf
1369,2014-05-05,2014,5,5,0,5f7b5347-1b45-4e62-9ba0-6c6333fe4faf
3684,2014-06-02,2014,6,2,0,0a43522f-f621-4605-be53-89f94158b32b
4423,2014-02-25,2014,2,25,1,0252134c-69da-4674-9e93-cc1bfae1cb0f
3561,2014-05-26,2014,5,26,0,594874b4-4e68-428d-ad14-cf80b34f75e7
2625,2014-12-14,2014,12,14,6,72fd33d4-6f23-489c-be74-ce424e0b727f
1218,2014-08-05,2014,8,5,1,db827d1b-a294-4a0d-afad-ca98f4619c3f
2120,2014-07-07,2014,7,7,0,84b4d974-b798-49ef-afd9-ea5d40116a9f
2332,2014-05-14,2014,5,14,2,05691156-7213-4a33-9cc6-dbd36f929752
2269,2014-05-01,2014,5,1,3,0d539cfa-84e3-44b5-b298-0fb98e075f13
2607,2014-11-20,2014,11,20,3,561a25d5-759c-4bd7-ad5c-5d4638c4e960
4866,2014-09-16,2014,9,16,1,04e39f7d-fbaf-4ab5-9dcf-84418b5a4a60
2723,2014-10-27,2014,10,27,0,cb9c5609-589a-4bee-b897-4d31beaab911
3660,2014-05-19,2014,5,19,0,12831292-123d-45dc-b270-1988b8cfbd97
2407,2014-08-01,2014,8,1,4,a640d571-ba67-4c6a-9bdb-9d207f9d7cec
3670,2014-04-08,2014,4,8,1,3e1f68d9-e236-4795-991d-bf44c13353a8
3743,2014-03-07,2014,3,7,4,521288c6-666f-4972-b04f-7602a3a73e0b
3598,2014-03-13,2014,3,13,3,7fe6699d-1713-4b88-a4c9-4aa861ff87d6
3882,2014-07-18,2014,7,18,4,8d8f0d70-40ef-4e74-800e-3a94afd39fd2
1175,2014-02-01,2014,2,1,5,bc538e34-33a2-41bb-b6ab-f1ee73ee5965
2913,2014-12-14,2014,12,14,6,f096860e-db77-431f-a358-b9acd3806e1d
1087,2014-02-26,2014,2,26,2,f5145830-a980-4641-822a-7ab7f77bb4ed
2075,2014-06-05,2014,6,5,3,fd3cf2c2-97e2-414d-a4dd-a4d510be9a68
3034,2014-12-26,2014,12,26,4,6222bdf4-dd6e-4bdb-b150-47a28a4aff1f
4820,2014-10-28,2014,10,28,1,67c2c5fb-c1fe-40d5-89be-a8caf45c34d6
1651,2014-08-20,2014,8,20,2,2704574d-3bba-4428-aca2-257038eb00c4
3625,2014-10-17,2014,10,17,4,d6062b8b-d8af-4508-9cfc-534f12f1093c
3487,2014-03-25,2014,3,25,1,81a58a13-a7ee-425b-a7c6-1aca1a24cc71
1729,2014-03-20,2014,3,20,3,76cd1676-65d8-4677-93ee-22612ad48c40
2803,2014-03-07,2014,3,7,4,bbbefc2f-072e-4b3a-8bd6-f98e66d3af16
3692,2014-10-19,2014,10,19,6,63b68f4d-9743-42a8-b7c1-3ef8f1a8e648
1649,2014-07-29,2014,7,29,1,84396ba0-32c1-4831-a5e7-781f02b100d1
4015,2014-02-17,2014,2,17,0,d39bd2b4-4647-4233-a2b4-e6145771918d
4427,2014-12-03,2014,12,3,2,fe95d580-f398-429d-a625-5773dc6ce09c
4021,2014-10-31,2014,10,31,4,fa894972-97ea-49d7-97d2-77a451852211
1737,2014-08-28,2014,8,28,3,94d37fd2-b841-4f2b-9d6d-b64761c34f2d
2320,2014-05-02,2014,5,2,4,12723131-a4a1-4aa2-8244-1f1a8c8874f3
4725,2014-08-31,2014,8,31,6,900be70c-481a-47d2-b885-687923208bf6
1697,2014-01-22,2014,1,22,2,93fa2990-6340-4c9e-9827-bc67690217f6
2341,2014-04-17,2014,4,17,3,7adb02ec-e560-4b49-8a7e-4b50f7cffba2
1180,2014-08-24,2014,8,24,6,fd24ad1a-08e0-4d0d-870a-33e6c36eb2bd
3226,2014-02-26,2014,2,26,2,900827ef-0094-441b-9010-1bf0ffb6df1a
4288,2014-09-24,2014,9,24,2,7545fe7e-d6d8-41e7-be24-ca689de81114
2181,2014-04-29,2014,4,29,1,d79704b9-449f-493a-82e5-0dfc354484a7
2517,2014-12-05,2014,12,5,4,b0d6c53a-a97f-4da5-9408-d717a9b07cf0
2909,2014-01-18,2014,1,18,5,afd6d92c-86f9-4c62-b3e8-a9ad0218918b
4312,2014-02-04,2014,2,4,1,06a667f5-cb91-4a26-9028-53ce858616af
4965,2014-12-23,2014,12,23,1,94373df6-d8c1-4b2a-843f-af90823e5ac1
1224,2014-09-20,2014,9,20,5,a384ab5a-5822-40aa-b269-57dfd307b2d5
3135,2014-06-21,2014,6,21,5,4f708a11-a66a-4fcb-869f-199d5675565e
1914,2014-11-28,2014,11,28,4,905e9dd5-dfe7-40e5-8252-069e6b4a58a1
3589,2014-07-09,2014,7,9,2,3a9089fd-57aa-4e6c-980f-87eda9511b84
4274,2014-03-31,2014,3,31,0,6f38a296-3fe6-45b4-9c5d-27ff2551e309
3395,2014-03-17,2014,3,17,0,5b76dd22-f415-48eb-9bb9-67104f6ca5e1
4086,2014-11-15,2014,11,15,5,df7cbc76-073a-4cd0-9e44-4c98f54b1204
1033,2014-02-03,2014,2,3,0,77ac2fc1-7fba-46a7-8f2d-22eaa0124725
2398,2014-07-23,2014,7,23,2,ef92cf32-2e4f-4fcc-b6e5-9d58f6ee851c
3782,2014-09-16,2014,9,16,1,bdc3657a-c7b8-4689-af7f-d92d3544d170
3109,2014-11-09,2014,11,9,6,f48c87de-deb5-45fa-8b5e-ec2169a332e5
2028,2014-08-22,2014,8,22,4,5d5df555-6c2a-48ae-9b2f-38133d5fa601
4963,2014-03-03,2014,3,3,0,2aa305ea-2afd-4787-a7a1-144aa297b3d1
1043,2014-03-14,2014,3,14,4,6ce8dc34-817a-4acc-b162-33cf60890e28
